Category	Method	Endpoint	Description	Auth/Public	Request Body	Responses
voice-diary-controller	GET	/api/v1/voice-diary/{diaryId}	Get diary by ID	Public		"OK (200):
{
  ""id"": ""string"",
  ""plotName"": ""string"",
  ""activityDate"": ""string"",
  ""activityType"": ""string"",
  ""expense"": {},
  ""aiExtractedData"": ""string"",
  ""originalTranscript"": ""string""
}"
voice-diary-controller	PUT	/api/v1/voice-diary/{diaryId}	Update diary	Public	Ref: CreateDiaryRequest	"OK (200):
{
  ""id"": ""string"",
  ""plotName"": ""string"",
  ""activityDate"": ""string"",
  ""activityType"": ""string"",
  ""expense"": {},
  ""aiExtractedData"": ""string"",
  ""originalTranscript"": ""string""
}"
voice-diary-controller	DELETE	/api/v1/voice-diary/{diaryId}	Delete diary	Public		"OK (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
user-controller	GET	/api/v1/user/profile		Public		"OK (200):
{
  ""id"": ""string"",
  ""fullName"": ""string"",
  ""username"": ""string"",
  ""phoneNumber"": ""string"",
  ""role"": ""string"",
  ""avatarUrl"": ""string"",
  ""address"": ""string"",
  ""commune"": ""string"",
  ""province"": ""string"",
  ""produce"": ""string"",
  ""cooperativeId"": ""string"",
  ""cooperativeName"": ""string"",
  ""representativeName"": ""string""
}"
user-controller	PUT	/api/v1/user/profile		Public	Ref: UpdateProfileRequest	"OK (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
user-controller	PUT	/api/v1/user/location		Public	Ref: FarmerLocationUpdateDto	"OK (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
Sourcing Requests	PUT	/api/v1/sourcing-requests/{id}/status	Update sourcing request status	Public		"Status updated successfully (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Unauthorized (401):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Forbidden - Admin access required (403):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Sourcing request not found (404):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
Sourcing Requests	PUT	/api/v1/sourcing-requests/{id}/cancel	Cancel sourcing request	Public		"Request cancelled successfully (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Unauthorized (401):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Forbidden - Only owner can cancel (403):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Sourcing request not found (404):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Cannot cancel request in current status (400):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
campaign-controller	PUT	/api/v1/offers/{offerId}/reject		Public		"OK (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
campaign-controller	PUT	/api/v1/offers/{offerId}/accept		Public		"OK (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
join-request-controller	PUT	/api/v1/join-requests/{requestId}/respond		Public	Ref: JoinRequestResponseDto	"OK (200):
{
  ""id"": ""string"",
  ""farmerName"": ""string"",
  ""farmerPhone"": ""string"",
  ""farmerAddress"": ""string"",
  ""cooperativeName"": ""string"",
  ""cooperativeId"": ""string"",
  ""status"": ""string"",
  ""responseMessage"": ""string"",
  ""createdAt"": ""string""
}"
campaign-controller	PUT	/api/v1/bulk-sales/{id}		Public	Ref: UpdateBulkSaleRequest	"OK (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
voice-diary-controller	POST	/api/v1/voice-diary	Create diary entry	Public	Ref: CreateDiaryRequest	"OK (200):
{
  ""id"": ""string"",
  ""plotName"": ""string"",
  ""activityDate"": ""string"",
  ""activityType"": ""string"",
  ""expense"": {},
  ""aiExtractedData"": ""string"",
  ""originalTranscript"": ""string""
}"
voice-diary-controller	POST	/api/v1/voice-diary/upload	Upload voice diary	Public	{audio}	"OK (200):
{
  ""status"": ""string"",
  ""message"": ""string"",
  ""transcription"": ""string""
}"
Sourcing Requests	GET	/api/v1/sourcing-requests	Get all sourcing requests	Public		"Successfully retrieved sourcing requests (200):
{
  ""totalElements"": 0,
  ""totalPages"": 0,
  ""pageable"": ""string"",
  ""size"": 0,
  ""content"": [],
  ""number"": 0,
  ""sort"": ""string"",
  ""numberOfElements"": 0,
  ""first"": true,
  ""last"": true,
  ""empty"": true
}"
Sourcing Requests	POST	/api/v1/sourcing-requests	Create a new sourcing request	Public	Ref: CreateSourcingRequest	"Sourcing request created successfully (201):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Invalid input data (400):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Unauthorized (401):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}

Forbidden - Only enterprises can create requests (403):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
product-controller	GET	/api/v1/products		Public		OK (200):
product-controller	POST	/api/v1/products		Public	Ref: CreateProductRequest	"OK (200):
{
  ""id"": ""string"",
  ""enterpriseId"": ""string"",
  ""enterpriseName"": ""string"",
  ""name"": ""string"",
  ""category"": ""string"",
  ""unit"": ""string"",
  ""basePrice"": {},
  ""description"": ""string"",
  ""imageUrl"": ""string"",
  ""attributes"": {},
  ""priceTiers"": []
}"
plot-controller	GET	/api/v1/plots	Get all plots for current farmer	Public		OK (200):
plot-controller	POST	/api/v1/plots	Create a new plot	Public	Ref: CreatePlotRequest	"OK (200):
{
  ""id"": ""string"",
  ""name"": ""string"",
  ""location"": ""string"",
  ""area"": {},
  ""areaUnit"": ""string"",
  ""createdAt"": ""string"",
  ""updatedAt"": ""string""
}"
marketplace-controller	POST	/api/v1/marketplace/bulk-sales/{id}/offers		Public	Ref: CreateOfferRequest	"OK (200):
{
  ""status"": 0,
  ""message"": ""string"",
  ""success"": true,
  ""data"": {}
}"
join-request-controller	POST	/api/v1/join-requests		Public	Ref: JoinRequestDto	"OK (200):
{
  ""id"": ""string"",
  ""farmerName"": ""string"",
  ""farmerPhone"": ""string"",
  ""farmerAddress"": ""string"",
  ""cooperativeName"": ""string"",
  ""cooperativeId"": ""string"",
  ""status"": ""string"",
  ""responseMessage"": ""string"",
  ""createdAt"": ""string""
}"
group-buy-controller	GET	/api/v1/group-buy/campaigns		Public		OK (200):
